# Deutsche Standardwerte (DAX-Umfeld), Yahoo-Ticker mit .DE (Xetra).
# Stand nach bestem Wissen – bitte gelegentlich mit der aktuellen DAX-Zusammensetzung abgleichen.
# Nicht mehr handelbare Titel werden automatisch übersprungen.
ticker,name
ADS.DE,Adidas
AIR.DE,Airbus
ALV.DE,Allianz
BAS.DE,BASF
BAYN.DE,Bayer
BEI.DE,Beiersdorf
BMW.DE,BMW
BNR.DE,Brenntag
CBK.DE,Commerzbank
CON.DE,Continental
DTG.DE,Daimler Truck
DBK.DE,Deutsche Bank
DB1.DE,Deutsche Börse
DHL.DE,DHL Group
DTE.DE,Deutsche Telekom
EOAN.DE,E.ON
FRE.DE,Fresenius
FME.DE,Fresenius Medical Care
G1A.DE,GEA Group
G24.DE,Scout24
HNR1.DE,Hannover Rück
HEI.DE,Heidelberg Materials
HEN3.DE,Henkel Vz.
IFX.DE,Infineon
MBG.DE,Mercedes-Benz Group
MRK.DE,Merck KGaA
MTX.DE,MTU Aero Engines
MUV2.DE,Munich Re
P911.DE,Porsche AG Vz.
PAH3.DE,Porsche SE Vz.
QIA.DE,Qiagen
RHM.DE,Rheinmetall
RWE.DE,RWE
SAP.DE,SAP
SRT3.DE,Sartorius Vz.
SIE.DE,Siemens
ENR.DE,Siemens Energy
SHL.DE,Siemens Healthineers
SY1.DE,Symrise
VOW3.DE,Volkswagen Vz.
VNA.DE,Vonovia
ZAL.DE,Zalando
LHA.DE,Lufthansa
